"first_gene" "second_gene" ""
"1" "AAK1" "GNPTAB" "2"
"2" "AAK1" "RAB22A" "2"
"3" "ABCA1" "CASP2" "2"
"4" "ABCA1" "GAB1" "2"
"5" "ABCA1" "HAS2" "2"
"6" "ABCA1" "SKI" "2"
"7" "ABHD2" "DHODH" "2"
"8" "ABHD2" "EZH1" "2"
"9" "ABHD2" "PCNXL2" "2"
"10" "ABHD2" "QKI" "2"
"11" "ABI2" "ADAR" "2"
"12" "ABI2" "GNS" "2"
"13" "ABI2" "RUNX3" "2"
"14" "ABI2" "TCF7L1" "2"
"15" "ACADSB" "HIF1A" "2"
"16" "ACADSB" "OPTN" "2"
"17" "ACADSB" "RTN2" "2"
"18" "ACAP2" "CLIP4" "2"
"19" "ACAP2" "SRCAP" "2"
"20" "ACOX1" "CHD4" "2"
"21" "ACSL4" "BTN3A3" "2"
"22" "ACTR2" "ARPC2" "2"
"23" "ACTR2" "PARD3" "2"
"24" "ACTR2" "TMEM165" "2"
"25" "ACTR2" "TNFRSF21" "2"
"26" "ACVR1B" "TNFRSF21" "2"
"27" "ACVR1B" "DENND5B" "2"
"28" "ACVR1B" "WAC" "2"
"29" "ADAR" "YWHAZ" "2"
"30" "ADAR" "DNM1L" "2"
"31" "ADARB1" "ZBTB5" "2"
"32" "ADD1" "CPOX" "2"
"33" "ADD1" "HNRNPU" "2"
"34" "ADD1" "LARP1" "2"
"35" "AFF1" "AGO3" "2"
"36" "AGFG2" "U2SURP" "2"
"37" "AGFG2" "VDAC1" "2"
"38" "AGFG2" "ZNF107" "2"
"39" "AGGF1" "NAP1L1" "2"
"40" "AGGF1" "NBPF1" "2"
"41" "AGMAT" "CNOT7" "2"
"42" "AGMAT" "NOTCH2" "2"
"43" "AGMAT" "PTGIS" "2"
"44" "AGO1" "ERLIN1" "2"
"45" "AGO1" "BTBD7" "2"
"46" "AGO3" "HS3ST1" "2"
"47" "AGO3" "SSX2IP" "2"
"48" "AGO3" "TCF4" "2"
"49" "AK1" "MYCBP2" "2"
"50" "AK1" "SOX4" "2"
"51" "AKAP11" "IFNAR1" "2"
"52" "AKAP11" "CBL" "2"
"53" "AKAP11" "LAS1L" "2"
"54" "AKR7A2" "LARP1" "2"
"55" "AKR7A2" "METTL8" "2"
"56" "AKR7A2" "PEX11A" "2"
"57" "AKR7A2" "PNPLA4" "2"
"58" "AMD1" "CD28" "2"
"59" "ANGEL1" "CHAC1" "2"
"60" "ANGPT4" "ORAI2" "2"
"61" "ANKRD12" "CRCP" "2"
"62" "ANKRD12" "TRA2B" "2"
"63" "ANKRD12" "HMBOX1" "2"
"64" "ANKRD27" "MCL1" "2"
"65" "APEX1" "CASP2" "2"
"66" "APEX1" "TCF3" "2"
"67" "APOC3" "NPFFR1" "2"
"68" "APOH" "VDAC1" "2"
"69" "APOH" "UBR5" "2"
"70" "APP" "KIAA0101" "2"
"71" "ARAP2" "MBNL1" "2"
"72" "ARAP2" "POLR3G" "2"
"73" "ARCN1" "RBBP7" "2"
"74" "ARCN1" "SLC25A44" "2"
"75" "ARHGAP1" "ESR2" "2"
"76" "ARHGAP1" "FTH1" "2"
"77" "ARID4B" "CTSS" "2"
"78" "ARIH1" "GABPB1" "2"
"79" "ARL1" "MARCH6" "2"
"80" "ARL1" "RFK" "2"
"81" "ARL1" "SCD" "2"
"82" "ARL2BP" "SH3PXD2A" "2"
"83" "ARL6IP1" "SUMO1" "2"
"84" "ARPC2" "LPIN1" "2"
"85" "ARPC2" "RBM5" "2"
"86" "ARPP19" "EIF1AX" "2"
"87" "ASB1" "C7ORF43" "2"
"88" "ASB1" "NFIB" "2"
"89" "ASB1" "THBS1" "2"
"90" "ASB1" "RUNX3" "2"
"91" "ASH1L" "GNB5" "2"
"92" "ASIC1" "THSD7A" "2"
"93" "ASNS" "PRPF8" "2"
"94" "ATAD2" "KLHL20" "2"
"95" "ATAT1" "NCOA3" "2"
"96" "ATAT1" "RFXANK" "2"
"97" "ATG14" "SUV420H1" "2"
"98" "ATG16L1" "MCL1" "2"
"99" "ATG2A" "PRKACB" "2"
"100" "ATP1B3" "GNAS" "2"
"101" "ATP1B3" "SLC25A3" "2"
"102" "ATP1B3" "PTP4A1" "2"
"103" "ATP5B" "EIF4H" "2"
"104" "ATP6V0E1" "NBR1" "2"
"105" "ATP6V0E1" "MAP3K14" "2"
"106" "ATP6V0E1" "SQSTM1" "2"
"107" "ATP6V0E1" "SUOX" "2"
"108" "ATP6V0E1" "TMBIM6" "2"
"109" "ATP6V0E1" "TMED10" "2"
"110" "ATRX" "ATXN7" "2"
"111" "ATRX" "BCL2L2" "2"
"112" "ATRX" "HMGB1" "2"
"113" "ATRX" "TPM4" "2"
"114" "ATXN1" "BTN3A3" "2"
"115" "ATXN1" "E2F1" "2"
"116" "ATXN1" "EGLN3" "2"
"117" "ATXN1" "MORF4L1" "2"
"118" "ATXN1" "PSD3" "2"
"119" "ATXN7" "GOLGA1" "2"
"120" "ATXN7" "MARCH6" "2"
"121" "ATXN7" "RABGAP1L" "2"
"122" "ATXN7" "TCF3" "2"
"123" "ATXN7" "PHLPP1" "2"
"124" "ATXN7" "PTGER4" "2"
"125" "AZIN1" "MSMO1" "2"
"126" "B2M" "HCP5" "2"
"127" "BAG4" "PHF14" "2"
"128" "BAZ2A" "MARCH6" "2"
"129" "BAZ2A" "CCT6A" "2"
"130" "BBX" "PAFAH1B1" "2"
"131" "BBX" "CAMSAP2" "2"
